date,ES=F,CL=F,GC=F,ZN=F
2020-05-15,2846.5,29.43000030517578,1753.4000244140625,139.328125
2020-05-18,2948.0,31.81999969482422,1731.800048828125,138.59375
2020-05-19,2918.75,32.5,1744.199951171875,138.859375
2020-05-20,2968.5,33.4900016784668,1750.5999755859375,139.078125
2020-05-21,2937.0,33.91999816894531,1720.5,139.0625
2020-05-22,2953.0,33.25,1734.5999755859375,139.15625
2020-05-26,2994.5,34.349998474121094,1704.800048828125,138.953125
2020-05-27,3035.5,32.810001373291016,1710.300048828125,139.125
2020-05-28,3038.0,33.709999084472656,1713.300048828125,138.953125
2020-05-29,3042.0,35.4900016784668,1736.9000244140625,139.375
2020-06-01,3054.0,35.439998626708984,1737.800048828125,139.328125
2020-06-02,3077.0,36.810001373291016,1725.199951171875,139.1875
2020-06-03,3117.75,37.290000915527344,1697.800048828125,138.5625
2020-06-04,3110.5,37.40999984741211,1718.9000244140625,138.203125
2020-06-05,3186.75,39.54999923706055,1676.199951171875,137.546875
2020-06-08,3227.5,38.189998626708984,1698.300048828125,137.734375
2020-06-09,3205.5,38.939998626708984,1714.699951171875,138.15625
2020-06-10,3186.0,39.599998474121094,1713.300048828125,138.875
2020-06-11,3010.25,36.34000015258789,1732.0,139.421875
2020-06-12,3034.75,36.2599983215332,1729.300048828125,139.109375
2020-06-15,3073.0,37.119998931884766,1720.300048828125,139.109375
2020-06-16,3128.75,38.380001068115234,1729.5999755859375,138.796875
2020-06-17,3118.0,37.959999084472656,1729.199951171875,138.96875
2020-06-18,3109.0,38.84000015258789,1724.800048828125,139.203125
2020-06-19,3161.260009765625,39.75,1745.9000244140625,139.15625
2020-06-22,3110.75,40.459999084472656,1756.699951171875,138.703125
2020-06-23,3118.5,40.369998931884766,1772.0999755859375,138.75
2020-06-24,3049.0,38.0099983215332,1765.800048828125,138.875
2020-06-25,3070.75,38.720001220703125,1762.0999755859375,138.90625
2020-06-26,3007.0,38.4900016784668,1772.5,139.21875
2020-06-29,3047.75,39.70000076293945,1774.800048828125,139.328125
2020-06-30,3090.25,39.27000045776367,1793.0,139.171875
2020-07-01,3103.0,39.81999969482422,1773.199951171875,138.953125
2020-07-02,3129.0,40.650001525878906,1784.0,139.09375
2020-07-06,3172.0,40.630001068115234,1788.5,138.984375
2020-07-07,3136.5,40.619998931884766,1804.199951171875,139.203125
2020-07-08,3163.5,40.900001525878906,1815.5,139.1875
2020-07-09,3141.0,39.619998931884766,1799.199951171875,139.5
2020-07-10,3178.5,40.54999923706055,1798.199951171875,139.21875
2020-07-13,3148.25,40.099998474121094,1811.0,139.21875
2020-07-14,3183.5,40.290000915527344,1810.5999755859375,139.421875
2020-07-15,3219.5,41.20000076293945,1811.4000244140625,139.34375
2020-07-16,3194.5,40.75,1798.699951171875,139.484375
2020-07-17,3214.0,40.59000015258789,1808.300048828125,139.359375
2020-07-20,3245.25,40.810001373291016,1815.9000244140625,139.390625
2020-07-21,3251.25,41.959999084472656,1842.4000244140625,139.515625
2020-07-22,3265.5,41.900001525878906,1864.0999755859375,139.5625
2020-07-23,3227.5,41.06999969482422,1889.0999755859375,139.625
2020-07-24,3204.0,41.290000915527344,1897.300048828125,139.578125
2020-07-27,3232.25,41.599998474121094,1931.0,139.46875
2020-07-28,3213.0,41.040000915527344,1944.699951171875,139.703125
2020-07-29,3252.5,41.27000045776367,1953.5,139.75
2020-07-30,3248.75,39.91999816894531,1942.300048828125,140.015625
2020-07-31,3263.5,40.27000045776367,1962.800048828125,140.078125
2020-08-03,3288.5,41.0099983215332,1966.0,139.9375
2020-08-04,3300.0,41.70000076293945,2001.199951171875,140.328125
2020-08-05,3316.0,42.189998626708984,2031.0999755859375,140.078125
2020-08-06,3344.25,41.95000076293945,2051.5,140.15625
2020-08-07,3344.75,41.220001220703125,2010.0999755859375,139.953125
2020-08-10,3352.75,41.939998626708984,2024.4000244140625,139.875
2020-08-11,3330.0,41.61000061035156,1932.5999755859375,139.25
2020-08-12,3370.0,42.66999816894531,1934.9000244140625,139.1875
2020-08-13,3367.75,42.2400016784668,1956.699951171875,138.96875
2020-08-14,3361.5,42.0099983215332,1937.0,139.125
2020-08-17,3379.75,42.88999938964844,1985.0,139.328125
2020-08-18,3387.0,42.88999938964844,1999.4000244140625,139.390625
2020-08-19,3372.75,42.93000030517578,1958.699951171875,139.375
2020-08-20,3380.75,42.58000183105469,1933.800048828125,139.5625
2020-08-21,3392.5,42.34000015258789,1934.5999755859375,139.5625
2020-08-24,3427.5,42.619998931884766,1927.699951171875,139.515625
2020-08-25,3443.0,43.349998474121094,1911.800048828125,139.3125
2020-08-26,3480.25,43.38999938964844,1940.699951171875,139.3125
2020-08-27,3485.25,43.040000915527344,1921.5999755859375,138.96875
2020-08-28,3504.5,42.970001220703125,1964.5999755859375,139.25
2020-08-31,3499.0,42.61000061035156,1967.5999755859375,139.40625
2020-09-01,3527.0,42.7599983215332,1968.199951171875,139.578125
2020-09-02,3579.25,41.5099983215332,1934.4000244140625,139.703125
2020-09-03,3461.5,41.369998931884766,1927.5999755859375,139.921875
2020-09-04,3417.5,39.77000045776367,1923.9000244140625,139.203125
2020-09-08,3335.5,36.7599983215332,1933.0,139.5625
2020-09-09,3400.25,38.04999923706055,1944.699951171875,139.46875
2020-09-10,3340.5,37.29999923706055,1954.199951171875,139.59375
2020-09-11,3333.75,37.33000183105469,1937.800048828125,139.765625
2020-09-14,3382.5,37.2599983215332,1953.0999755859375,139.734375
2020-09-15,3405.25,38.279998779296875,1956.300048828125,139.671875
2020-09-16,3389.5,40.15999984741211,1960.199951171875,139.640625
2020-09-17,3361.5,40.970001220703125,1940.0,139.640625
2020-09-18,3353.60009765625,41.11000061035156,1952.0999755859375,139.609375
2020-09-21,3275.0,39.310001373291016,1901.199951171875,139.765625
2020-09-22,3299.25,39.599998474121094,1898.5999755859375,139.625
2020-09-23,3231.25,39.93000030517578,1859.9000244140625,139.5
2020-09-24,3238.0,40.310001373291016,1868.300048828125,139.578125
2020-09-25,3287.25,40.25,1857.699951171875,139.640625
2020-09-28,3346.0,40.599998474121094,1872.800048828125,139.625
2020-09-29,3333.75,39.290000915527344,1894.300048828125,139.78125
2020-09-30,3352.0,40.220001220703125,1887.5,139.53125
2020-10-01,3367.75,38.720001220703125,1908.4000244140625,139.546875
2020-10-02,3339.25,37.04999923706055,1900.199951171875,139.4375
2020-10-05,3393.0,39.220001220703125,1912.5,138.921875
2020-10-06,3353.25,40.66999816894531,1901.0999755859375,139.046875
2020-10-07,3406.75,39.95000076293945,1883.5999755859375,138.71875
2020-10-08,3437.5,41.189998626708984,1888.5999755859375,138.921875
2020-10-09,3473.25,40.599998474121094,1919.5,138.828125
2020-10-12,3532.75,39.43000030517578,1922.5,138.90625
2020-10-13,3504.75,40.20000076293945,1888.5,139.203125
2020-10-14,3481.0,41.040000915527344,1901.300048828125,139.21875
2020-10-15,3475.5,40.959999084472656,1903.199951171875,139.125
2020-10-16,3462.25,40.880001068115234,1900.800048828125,139.0625
2020-10-19,3422.75,40.83000183105469,1906.4000244140625,138.921875
2020-10-20,3432.25,41.459999084472656,1910.4000244140625,138.703125
2020-10-21,3432.5,40.029998779296875,1924.5999755859375,138.578125
2020-10-22,3449.25,40.63999938964844,1901.0999755859375,138.328125
2020-10-23,3451.75,39.849998474121094,1902.0,138.359375
2020-10-26,3393.5,38.560001373291016,1902.699951171875,138.640625
2020-10-27,3383.0,39.56999969482422,1908.800048828125,138.84375
2020-10-28,3263.5,37.38999938964844,1876.199951171875,138.796875
2020-10-29,3302.25,36.16999816894531,1865.5999755859375,138.40625
2020-10-30,3264.75,35.790000915527344,1877.4000244140625,138.21875
2020-11-02,3300.5,36.810001373291016,1890.4000244140625,138.296875
2020-11-03,3361.5,37.65999984741211,1908.5,138.09375
2020-11-04,3435.0,39.150001525878906,1894.5999755859375,138.984375
2020-11-05,3504.75,38.790000915527344,1945.300048828125,138.875
2020-11-06,3500.75,37.13999938964844,1950.300048828125,138.546875
2020-11-09,3544.0,40.290000915527344,1853.199951171875,137.578125
2020-11-10,3541.0,41.36000061035156,1875.4000244140625,137.4375
2020-11-11,3568.0,41.45000076293945,1860.699951171875,137.609375
2020-11-12,3532.5,41.119998931884766,1872.5999755859375,138.15625
2020-11-13,3582.0,40.130001068115234,1885.699951171875,138.109375
2020-11-16,3623.0,41.34000015258789,1887.300048828125,138.03125
2020-11-17,3606.75,41.43000030517578,1884.5,138.296875
2020-11-18,3565.0,41.81999969482422,1873.5,138.1875
2020-11-19,3580.0,41.7400016784668,1861.0999755859375,138.359375
2020-11-20,3554.25,42.150001525878906,1872.5999755859375,138.5
2020-11-23,3576.0,43.060001373291016,1837.800048828125,138.3125
2020-11-24,3632.75,44.90999984741211,1804.800048828125,138.25
2020-11-25,3627.25,45.709999084472656,1805.699951171875,138.265625
2020-11-27,3636.5,45.529998779296875,1781.9000244140625,138.546875
2020-11-30,3623.25,45.34000015258789,1775.699951171875,138.53125
2020-12-01,3660.5,44.54999923706055,1814.0999755859375,137.84375
2020-12-02,3667.25,45.279998779296875,1825.699951171875,137.84375
2020-12-03,3664.5,45.63999938964844,1836.800048828125,138.078125
2020-12-04,3698.0,46.2599983215332,1835.9000244140625,137.8125
2020-12-07,3690.75,45.7599983215332,1861.800048828125,138.140625
2020-12-08,3702.0,45.599998474121094,1870.800048828125,138.21875
2020-12-09,3672.5,45.52000045776367,1834.5999755859375,138.046875
2020-12-10,3668.5,46.779998779296875,1833.5999755859375,138.3125
2020-12-11,3661.25,46.56999969482422,1839.800048828125,138.5
