date,symbol,price,position,gross_return,cost,net_return,turnover
2020-12-15,GC=F,1852.300048828125,-0.7342748215758937,-0.009476107594694114,1.4547236283594778e-06,-0.009477562318322474,0.007273618141797389
2020-12-16,GC=F,1856.0999755859375,-0.7027776361048387,-0.0014417229789075215,6.299437094211014e-06,-0.0014480224160017326,0.03149718547105507
2020-12-17,GC=F,1887.199951171875,-0.7016282798565315,-0.011756167588468902,2.2987124966142858e-07,-0.011756397459718564,0.0011493562483071429
2020-12-18,GC=F,1885.699951171875,-0.6662854242368932,0.0005295825361455178,7.0685711239276696e-06,0.00052251396502159,0.03534285561963835
2020-12-21,GC=F,1879.199951171875,-0.6728335779539655,0.002319254584475564,1.3096307434144583e-06,0.0023179449537321494,0.0065481537170722914
2020-12-22,GC=F,1866.5999755859375,-0.6751202054100531,0.004526659390574757,4.5732549121753064e-07,0.004526202065083539,0.002286627456087653
2020-12-23,GC=F,1874.699951171875,-0.7216837123644483,-0.003131694271605188,9.312701390879031e-06,-0.003141006972996067,0.04656350695439515
2020-12-24,GC=F,1879.9000244140625,-0.7905345773739549,-0.0021927976795735916,1.3770173001901332e-05,-0.002206567852575493,0.06885086500950666
2020-12-28,GC=F,1877.199951171875,-0.7908968194903924,0.0011359536740805172,7.244842328748558e-08,0.0011358812256572297,0.0003622421164374279
2020-12-29,GC=F,1879.699951171875,-0.8451311615505522,-0.0011255209667768154,1.0846868412031974e-05,-0.0011363678351888474,0.05423434206015987
2020-12-30,GC=F,1891.0,-0.8550682234385649,-0.005140348421145605,1.987412377602538e-06,-0.0051423358335232075,0.009937061888012688
2020-12-31,GC=F,1893.0999755859375,-0.9720102801330552,-0.0010794277406449423,2.3388411338898063e-05,-0.0011028161519838404,0.11694205669449032
2021-01-04,GC=F,1944.699951171875,-0.9796411388939043,-0.026701948920716617,1.5261717521698027e-06,-0.026703475092468787,0.007630858760849013
2021-01-05,GC=F,1952.699951171875,-0.7976396938738527,-0.0032812864252635045,3.6400289004010316e-05,-0.0033176867142675147,0.18200144502005156
2021-01-06,GC=F,1906.9000244140625,-0.8001168073658338,0.018766473135341685,4.954226983962196e-07,0.018765977712643288,0.0024771134919810978
2021-01-07,GC=F,1912.300048828125,-0.7047363407175745,-0.0019956963640614675,1.9076093329651856e-05,-0.0020147724573911195,0.09538046664825928
2021-01-08,GC=F,1834.0999755859375,-0.7063533634847975,0.02888505116821304,3.234045534445951e-07,0.028884727763659593,0.0016170227672229753
2021-01-11,GC=F,1849.5999755859375,-0.5622678852643147,-0.004751732368794536,2.881709564409656e-05,-0.004780549464438633,0.1440854782204828
2021-01-12,GC=F,1842.9000244140625,-0.5572287196186391,0.002018493329525827,1.0078331291351273e-06,0.002017485496396692,0.005039165645675636
2021-01-13,GC=F,1853.5999755859375,-0.556727948437344,-0.0032323847118031854,1.0015423625902021e-07,-0.0032324848660394445,0.000500771181295101
2021-01-14,GC=F,1850.300048828125,-0.5577801278801283,0.0009930047438557338,2.1043588855687025e-07,0.000992794307967177,0.0010521794427843512
2021-01-15,GC=F,1829.300048828125,-0.5696562955515777,0.006465320159376149,2.375233534289878e-06,0.006462944925841859,0.011876167671449389
2021-01-19,GC=F,1839.5,-0.5604570443600908,-0.0031250392684723945,1.8398502382973804e-06,-0.003126879118710692,0.009199251191486901
2021-01-20,GC=F,1865.9000244140625,-0.5824956921933047,-0.008359826308773846,4.407729566642771e-06,-0.008364234038340489,0.022038647833213854
2021-01-21,GC=F,1865.300048828125,-0.563568651478219,0.0001812141205115193,3.7854081430171327e-06,0.00017742871236850217,0.018927040715085663
2021-01-22,GC=F,1855.699951171875,-0.5643169868340827,0.0029043574979218537,1.4966707117274324e-07,0.002904207830850681,0.0007483353558637162
2021-01-25,GC=F,1854.9000244140625,-0.5657150227364811,0.00024385978115571593,2.796071804796796e-07,0.00024358017397523626,0.001398035902398398
2021-01-26,GC=F,1850.699951171875,-0.5674429077513258,0.0012848680478444148,3.4557700296893314e-07,0.0012845224708414459,0.0017278850148446656
2021-01-27,GC=F,1844.9000244140625,-0.5681059497855278,0.0017803928169702193,1.3260840684039545e-07,0.001780260208563379,0.0006630420342019772
2021-01-28,GC=F,1837.9000244140625,-0.5676843456067099,0.0021539326612069784,8.432083576357385e-08,0.002153848340371215,0.00042160417881786927
2021-01-29,GC=F,1847.300048828125,-0.5674176398152074,-0.0029020836804946053,5.334115830049058e-08,-0.002902137021652906,0.0002667057915024529
2021-02-01,GC=F,1860.800048828125,-0.5683692791417677,-0.004153621537162575,1.903278653120566e-07,-0.004153811865027887,0.0009516393265602829
2021-02-02,GC=F,1830.5,-0.5633261765751015,0.009172834376877803,1.008620513333236e-06,0.009171825756364469,0.00504310256666618
2021-02-03,GC=F,1832.199951171875,-0.6211751899167673,-0.0005768738006221033,1.1569802668333162e-05,-0.0005884436032904365,0.05784901334166581
2021-02-04,GC=F,1788.9000244140625,-0.6249139767382219,0.014768436930364287,7.47757364290913e-07,0.014767689172999995,0.003738786821454565
2021-02-05,GC=F,1810.9000244140625,-0.6241383764341891,-0.007675691259521168,1.5512006080655727e-07,-0.007675846379581974,0.0007756003040327863
2021-02-08,GC=F,1831.9000244140625,-0.6041150893030174,-0.007005586561559775,4.004657426234348e-06,-0.007009591218986009,0.02002328713117174
2021-02-09,GC=F,1835.300048828125,-0.812026084950092,-0.0015071283786728597,4.1582199129414925e-05,-0.0015487105778022746,0.2079109956470746
2021-02-10,GC=F,1840.5999755859375,-0.8290293860311531,-0.002394047245214649,3.400660216212215e-06,-0.0023974479054308614,0.017003301081061073
2021-02-11,GC=F,1824.9000244140625,-0.8296266699204563,0.007076550245248156,1.1945677786064923e-07,0.007076430788470295,0.0005972838893032462
2021-02-12,GC=F,1821.5999755859375,-0.8226757635452463,0.0014876816006871752,1.3901812750420018e-06,0.001486291419412133,0.006950906375210009
2021-02-16,GC=F,1797.199951171875,-0.8226613240609324,0.011019409673155657,2.8878968627799042e-09,0.011019406785258794,1.443948431389952e-05
2021-02-17,GC=F,1771.0999755859375,-0.811358222856094,0.011783012677128921,2.26062024096767e-06,0.011780752056887953,0.01130310120483835
2021-02-18,GC=F,1773.4000244140625,-0.7834676235555146,-0.0010174545843107904,5.578119860115893e-06,-0.0010230327041709064,0.027890599300579466
2021-02-19,GC=F,1775.800048828125,-0.8449240005749573,-0.0011434747950210746,1.2291275403888547e-05,-0.001155766070424963,0.06145637701944273
2021-02-22,GC=F,1806.699951171875,-0.8423082745449264,-0.014656629525349164,5.231452060061814e-07,-0.01465715267055517,0.002615726030030907
2021-02-23,GC=F,1804.4000244140625,-0.761545796404786,0.0009694468377635039,1.6152495628028074e-05,0.0009532943421354758,0.08076247814014037
2021-02-24,GC=F,1796.4000244140625,-0.7616944268688867,0.003377053498394728,2.972609282012595e-08,0.0033770237723019076,0.00014863046410062974
2021-02-25,GC=F,1774.4000244140625,-0.7600514989093308,0.009308134462678615,3.285855919111791e-07,0.009307805877086704,0.0016429279595558954
2021-02-26,GC=F,1728.0999755859375,-0.7397998165496023,0.019303858858204938,4.050336471945704e-06,0.019299808521732992,0.020251682359728518
2021-03-01,GC=F,1722.5,-0.6572922040250643,0.0021299811048949226,1.6501522504907596e-05,0.002113479582390015,0.08250761252453798
2021-03-02,GC=F,1733.0999755859375,-0.6660910694118571,-0.004099012524688964,1.759773077358573e-06,-0.004100772297766323,0.008798865386792865
2021-03-03,GC=F,1715.300048828125,-0.6691520947686558,0.006872574256826704,6.122050713597282e-07,0.0068719620517553445,0.003061025356798641
2021-03-04,GC=F,1700.199951171875,-0.6853990384209007,0.00603369213492774,3.2493887304489768e-06,0.006030442746197291,0.016246943652244883
2021-03-05,GC=F,1698.0,-0.6840041265573028,0.00088505806552334,2.7898237271957175e-07,0.0008847790831506204,0.0013949118635978586
2021-03-08,GC=F,1677.699951171875,-0.7512634468578574,0.008981557511189656,1.3451864060110919e-05,0.008968105647129545,0.06725932030055459
2021-03-09,GC=F,1716.5999755859375,-0.783158661797656,-0.018158724414776038,6.379042987959727e-06,-0.018165103457764,0.03189521493979863
2021-03-10,GC=F,1721.5,-0.6978050384974208,-0.0019918803294437276,1.7070724660047044e-05,-0.0020089510541037746,0.08535362330023522
2021-03-11,GC=F,1722.300048828125,-0.6961730818267688,-0.0003235390405388209,3.263913341303937e-07,-0.0003238654318729513,0.0016319566706519684
2021-03-12,GC=F,1719.5,-0.6996856478694902,0.0011375218735584947,7.025132085442643e-07,0.0011368193603499505,0.0035125660427213212
2021-03-15,GC=F,1728.9000244140625,-0.7038459298038519,-0.0038477283651612076,8.320563868723374e-07,-0.00384856042154808,0.004160281934361687
2021-03-16,GC=F,1730.5999755859375,-0.6939381529271471,-0.0006823187920754379,1.9815553753409488e-06,-0.0006843003474507789,0.009907776876704744
2021-03-17,GC=F,1726.800048828125,-0.7114663626305853,0.001562186586607409,3.5056419406876316e-06,0.0015586809446667214,0.017528209703438158
2021-03-18,GC=F,1732.199951171875,-0.7396121671388267,-0.002312852305922408,5.629160901648289e-06,-0.0023184814668240562,0.028145804508241445
2021-03-19,GC=F,1741.4000244140625,-0.7374335361842697,-0.003916662472799796,4.357261909114119e-07,-0.0039170981989907075,0.0021786309545570592
